impl,symbol,time,event_sc,event_ar,event_st,event_spring,event_test,event_sos,event_bc,event_sow,bc_score,spring_score,composite_score,debug,event,direction,role,event_date,bar_index
kapman_v0_handwritten_structural,AACG,2024-09-24,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-09-24', 'idx': 184, 'label': 'AR', 'score': 1.5202924633942227}}",AR,NA,IGNORE,2024-09-24,184
kapman_v0_handwritten_structural,AADR,2024-08-08,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-08-08', 'idx': 153, 'label': 'AR', 'score': 0.6122426088890809}}",AR,NA,IGNORE,2024-08-08,153
kapman_v0_handwritten_structural,AAL,2025-04-07,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-07', 'idx': 318, 'label': 'AR', 'score': 2.5992211388859423}}",AR,NA,IGNORE,2025-04-07,318
kapman_v0_handwritten_structural,AAME,2024-11-27,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-11-27', 'idx': 226, 'label': 'AR', 'score': 0.5101905952485946}}",AR,NA,IGNORE,2024-11-27,226
kapman_v0_handwritten_structural,AAON,2025-08-12,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-08-12', 'idx': 405, 'label': 'AR', 'score': 3.4976676993180336}}",AR,NA,IGNORE,2025-08-12,405
kapman_v0_handwritten_structural,AAP,2025-03-07,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-03-07', 'idx': 297, 'label': 'AR', 'score': 0.5506486605494173}}",AR,NA,IGNORE,2025-03-07,297
kapman_v0_handwritten_structural,AAPB,2025-04-11,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-11', 'idx': 322, 'label': 'AR', 'score': 0.9040524031002639}}",AR,NA,IGNORE,2025-04-11,322
kapman_v0_handwritten_structural,AAPD,2025-10-22,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-10-22', 'idx': 455, 'label': 'AR', 'score': 1.1344589367228517}}",AR,NA,IGNORE,2025-10-22,455
kapman_v0_handwritten_structural,AAPL,2025-04-11,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-11', 'idx': 322, 'label': 'AR', 'score': 1.110068973212031}}",AR,NA,IGNORE,2025-04-11,322
kapman_v0_handwritten_structural,AAPR,2025-04-09,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-09', 'idx': 257, 'label': 'AR', 'score': 4.26579009663785}}",AR,NA,IGNORE,2025-04-09,257
kapman_v0_handwritten_structural,AAPU,2025-04-11,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-11', 'idx': 322, 'label': 'AR', 'score': 0.9404244366900683}}",AR,NA,IGNORE,2025-04-11,322
kapman_v0_handwritten_structural,AAPX,2025-04-11,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-11', 'idx': 313, 'label': 'AR', 'score': 0.9896198416554735}}",AR,NA,IGNORE,2025-04-11,313
kapman_v0_handwritten_structural,AAPY,2024-03-22,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-03-22', 'idx': 58, 'label': 'AR', 'score': 1.1933458822706533}}",AR,NA,IGNORE,2024-03-22,58
kapman_v0_handwritten_structural,ABAT,2024-11-25,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-11-25', 'idx': 229, 'label': 'AR', 'score': 2.260869679222658}}",AR,NA,IGNORE,2024-11-25,229
kapman_v0_handwritten_structural,ABBV,2025-04-25,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-25', 'idx': 331, 'label': 'AR', 'score': 0.6359603187197281}}",AR,NA,IGNORE,2025-04-25,331
kapman_v0_handwritten_structural,ABCB,2025-04-29,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-29', 'idx': 333, 'label': 'AR', 'score': 1.1812941723890213}}",AR,NA,IGNORE,2025-04-29,333
kapman_v0_handwritten_structural,ABCS,2025-12-10,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-12-10', 'idx': 489, 'label': 'AR', 'score': 1.846582769385823}}",AR,NA,IGNORE,2025-12-10,489
kapman_v0_handwritten_structural,ABEO,2025-04-03,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-03', 'idx': 316, 'label': 'AR', 'score': 1.8642766809222417}}",AR,NA,IGNORE,2025-04-03,316
kapman_v0_handwritten_structural,ABFL,2025-04-01,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-01', 'idx': 72, 'label': 'AR', 'score': 0.704470135261998}}",AR,NA,IGNORE,2025-04-01,72
kapman_v0_handwritten_structural,ABG,2025-04-01,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-01', 'idx': 314, 'label': 'AR', 'score': 0.7218359787552857}}",AR,NA,IGNORE,2025-04-01,314
kapman_v0_handwritten_structural,ABL,2025-04-11,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-11', 'idx': 322, 'label': 'AR', 'score': 1.5670969627887859}}",AR,NA,IGNORE,2025-04-11,322
kapman_v0_handwritten_structural,ABLLL,2025-03-28,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-03-28', 'idx': 302, 'label': 'AR', 'score': 1.2911705721685514}}",AR,NA,IGNORE,2025-03-28,302
kapman_v0_handwritten_structural,ABLV,2024-04-25,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-04-25', 'idx': 81, 'label': 'AR', 'score': 0.5029702929688702}}",AR,NA,IGNORE,2024-04-25,81
kapman_v0_handwritten_structural,ABM,2025-06-09,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-06-09', 'idx': 361, 'label': 'AR', 'score': 0.8668405123796187}}",AR,NA,IGNORE,2025-06-09,361
kapman_v0_handwritten_structural,ABSI,2024-12-11,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-12-11', 'idx': 240, 'label': 'AR', 'score': 2.70012673763029}}",AR,NA,IGNORE,2024-12-11,240
kapman_v0_handwritten_structural,ABTS,2024-10-29,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-10-29', 'idx': 210, 'label': 'AR', 'score': 3.0538953208302275}}",AR,NA,IGNORE,2024-10-29,210
kapman_v0_handwritten_structural,ABUS,2025-04-21,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-21', 'idx': 327, 'label': 'AR', 'score': 0.5702598133903357}}",AR,NA,IGNORE,2025-04-21,327
kapman_v0_handwritten_structural,ACA,2025-03-05,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-03-05', 'idx': 295, 'label': 'AR', 'score': 0.7012094388916}}",AR,NA,IGNORE,2025-03-05,295
kapman_v0_handwritten_structural,ACAD,2025-10-15,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-10-15', 'idx': 450, 'label': 'AR', 'score': 2.229488647128144}}",AR,NA,IGNORE,2025-10-15,450
kapman_v0_handwritten_structural,ACCO,2025-11-21,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-11-21', 'idx': 477, 'label': 'AR', 'score': 0.7215361683846998}}",AR,NA,IGNORE,2025-11-21,477
kapman_v0_handwritten_structural,ACEL,2025-04-08,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-08', 'idx': 319, 'label': 'AR', 'score': 0.7806930674802673}}",AR,NA,IGNORE,2025-04-08,319
kapman_v0_handwritten_structural,ACET,2025-02-06,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-02-06', 'idx': 277, 'label': 'AR', 'score': 2.110373851062037}}",AR,NA,IGNORE,2025-02-06,277
kapman_v0_handwritten_structural,ACGLN,2025-12-04,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-12-04', 'idx': 485, 'label': 'AR', 'score': 0.8022594254645777}}",AR,NA,IGNORE,2025-12-04,485
kapman_v0_handwritten_structural,ACHC,2025-12-05,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-12-05', 'idx': 486, 'label': 'AR', 'score': 0.9064195996904878}}",AR,NA,IGNORE,2025-12-05,486
kapman_v0_handwritten_structural,ACHV,2024-12-03,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-12-03', 'idx': 234, 'label': 'AR', 'score': 0.7872338213284994}}",AR,NA,IGNORE,2024-12-03,234
kapman_v0_handwritten_structural,ACI,2024-12-12,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-12-12', 'idx': 241, 'label': 'AR', 'score': 1.925399671924499}}",AR,NA,IGNORE,2024-12-12,241
kapman_v0_handwritten_structural,ACIC,2025-08-11,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-08-11', 'idx': 404, 'label': 'AR', 'score': 2.951039738010908}}",AR,NA,IGNORE,2025-08-11,404
kapman_v0_handwritten_structural,ACLS,2025-04-09,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-09', 'idx': 320, 'label': 'AR', 'score': 3.888950484508194}}",AR,NA,IGNORE,2025-04-09,320
kapman_v0_handwritten_structural,ACLX,2025-05-07,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-05-07', 'idx': 339, 'label': 'AR', 'score': 1.195659677805041}}",AR,NA,IGNORE,2025-05-07,339
kapman_v0_handwritten_structural,ACMR,2025-08-22,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-08-22', 'idx': 413, 'label': 'AR', 'score': 3.8840336147352232}}",AR,NA,IGNORE,2025-08-22,413
kapman_v0_handwritten_structural,ACN,2025-06-23,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-06-23', 'idx': 370, 'label': 'AR', 'score': 2.421592917149867}}",AR,NA,IGNORE,2025-06-23,370
kapman_v0_handwritten_structural,ACRE,2024-08-07,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-08-07', 'idx': 152, 'label': 'AR', 'score': 1.0639859972867107}}",AR,NA,IGNORE,2024-08-07,152
kapman_v0_handwritten_structural,ACSI,2025-04-02,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-04-02', 'idx': 315, 'label': 'AR', 'score': 1.7132598770698886}}",AR,NA,IGNORE,2025-04-02,315
kapman_v0_handwritten_structural,ACT,2024-11-06,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-11-06', 'idx': 216, 'label': 'AR', 'score': 1.1875603279876161}}",AR,NA,IGNORE,2024-11-06,216
kapman_v0_handwritten_structural,ACTG,2024-08-14,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-08-14', 'idx': 157, 'label': 'AR', 'score': 2.175339941403183}}",AR,NA,IGNORE,2024-08-14,157
kapman_v0_handwritten_structural,ACU,2025-06-30,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-06-30', 'idx': 375, 'label': 'AR', 'score': 1.0568703468000025}}",AR,NA,IGNORE,2025-06-30,375
kapman_v0_handwritten_structural,ACVA,2025-08-22,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-08-22', 'idx': 413, 'label': 'AR', 'score': 1.026440674294005}}",AR,NA,IGNORE,2025-08-22,413
kapman_v0_handwritten_structural,ACWX,2024-08-06,False,True,False,False,False,False,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-08-06', 'idx': 151, 'label': 'AR', 'score': 1.63890718482817}}",AR,NA,IGNORE,2024-08-06,151
