impl,symbol,time,event_sc,event_ar,event_st,event_spring,event_test,event_sos,event_bc,event_sow,bc_score,spring_score,composite_score,debug,event,direction,role,event_date,bar_index
kapman_v0_handwritten_structural,ADBE,2024-03-05,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-03-05', 'idx': 47, 'label': 'SOS', 'score': 1.529410663420126}}",SOS,UP,ENTRY,2024-03-05,47
kapman_v0_handwritten_structural,AEHR,2025-09-22,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-09-22', 'idx': 435, 'label': 'SOS', 'score': 1.7305123630858943}}",SOS,UP,ENTRY,2025-09-22,435
kapman_v0_handwritten_structural,AEVA,2025-06-03,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-06-03', 'idx': 359, 'label': 'SOS', 'score': 1.7890054025274122}}",SOS,UP,ENTRY,2025-06-03,359
kapman_v0_handwritten_structural,AMBA,2024-11-27,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-11-27', 'idx': 233, 'label': 'SOS', 'score': 5.662613666935379}}",SOS,UP,ENTRY,2024-11-27,233
kapman_v0_handwritten_structural,ANET,2024-03-08,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-03-08', 'idx': 50, 'label': 'SOS', 'score': 2.886087758856455}}",SOS,UP,ENTRY,2024-03-08,50
kapman_v0_handwritten_structural,ASML,2024-03-01,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-03-01', 'idx': 45, 'label': 'SOS', 'score': 3.350885389409904}}",SOS,UP,ENTRY,2024-03-01,45
kapman_v0_handwritten_structural,AVGO,2024-03-01,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2024-03-01', 'idx': 45, 'label': 'SOS', 'score': 4.037098028051569}}",SOS,UP,ENTRY,2024-03-01,45
kapman_v0_handwritten_structural,BBAI,2025-02-12,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-02-12', 'idx': 283, 'label': 'SOS', 'score': 2.8451835505364746}}",SOS,UP,ENTRY,2025-02-12,283
kapman_v0_handwritten_structural,BIDU,2025-10-06,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-10-06', 'idx': 445, 'label': 'SOS', 'score': 1.915939735539863}}",SOS,UP,ENTRY,2025-10-06,445
kapman_v0_handwritten_structural,BWXT,2025-08-01,False,False,False,False,False,True,False,False,0.0,0.0,0.0,"{'raw_event': {'date': '2025-08-01', 'idx': 400, 'label': 'SOS', 'score': 2.4609297009363744}}",SOS,UP,ENTRY,2025-08-01,400
