symbol,event,direction,role,event_date,bar_index,impl
AAPL,SOW,DOWN,ENTRY,2024-03-08,50,kapman_v0_handwritten_structural
AAPL,SPRING,UP,ENTRY,2024-04-11,73,kapman_v0_handwritten_structural
AAPL,SC,NA,IGNORE,2025-04-09,322,kapman_v0_handwritten_structural
AAPL,AR,NA,IGNORE,2025-04-11,324,kapman_v0_handwritten_structural
AAPL,BC,DOWN,ENTRY,2025-08-08,405,kapman_v0_handwritten_structural
ADBE,SOS,UP,ENTRY,2024-03-05,47,kapman_v0_handwritten_structural
ADBE,SOW,DOWN,ENTRY,2025-04-07,320,kapman_v0_handwritten_structural
ADBE,SC,NA,IGNORE,2025-06-16,368,kapman_v0_handwritten_structural
ADBE,AR,NA,IGNORE,2025-07-01,378,kapman_v0_handwritten_structural
ADBE,BC,DOWN,ENTRY,2025-12-11,492,kapman_v0_handwritten_structural
ADI,SOW,DOWN,ENTRY,2024-02-22,39,kapman_v0_handwritten_structural
ADI,SPRING,UP,ENTRY,2024-11-25,231,kapman_v0_handwritten_structural
ADI,SC,NA,IGNORE,2025-07-23,393,kapman_v0_handwritten_structural
ADI,AR,NA,IGNORE,2025-08-12,407,kapman_v0_handwritten_structural
ADI,BC,DOWN,ENTRY,2025-11-25,481,kapman_v0_handwritten_structural
AEHR,SC,NA,IGNORE,2025-04-09,322,kapman_v0_handwritten_structural
AEHR,BC,DOWN,ENTRY,2025-08-25,416,kapman_v0_handwritten_structural
AEHR,SOS,UP,ENTRY,2025-09-22,435,kapman_v0_handwritten_structural
AEVA,SOS,UP,ENTRY,2025-06-03,359,kapman_v0_handwritten_structural
AEVA,BC,DOWN,ENTRY,2025-09-17,432,kapman_v0_handwritten_structural
AI,BC,DOWN,ENTRY,2024-12-10,241,kapman_v0_handwritten_structural
AI,SC,NA,IGNORE,2025-08-11,406,kapman_v0_handwritten_structural
AI,AR,NA,IGNORE,2025-08-13,408,kapman_v0_handwritten_structural
AI,SPRING,UP,ENTRY,2025-12-03,486,kapman_v0_handwritten_structural
AMBA,SOS,UP,ENTRY,2024-11-27,233,kapman_v0_handwritten_structural
AMBA,BC,DOWN,ENTRY,2025-06-24,373,kapman_v0_handwritten_structural
AMD,SOW,DOWN,ENTRY,2025-04-08,321,kapman_v0_handwritten_structural
AMD,SC,NA,IGNORE,2025-04-09,322,kapman_v0_handwritten_structural
AMD,AR,NA,IGNORE,2025-05-07,341,kapman_v0_handwritten_structural
AMD,BC,DOWN,ENTRY,2025-10-08,447,kapman_v0_handwritten_structural
AMZN,SC,NA,IGNORE,2025-04-09,322,kapman_v0_handwritten_structural
ANET,SOS,UP,ENTRY,2024-03-08,50,kapman_v0_handwritten_structural
ANET,SOW,DOWN,ENTRY,2024-03-08,50,kapman_v0_handwritten_structural
ANET,SPRING,UP,ENTRY,2024-03-18,56,kapman_v0_handwritten_structural
ANET,SC,NA,IGNORE,2024-07-31,149,kapman_v0_handwritten_structural
ANET,AR,NA,IGNORE,2024-08-06,153,kapman_v0_handwritten_structural
ANET,BC,DOWN,ENTRY,2025-09-10,427,kapman_v0_handwritten_structural
APPN,SC,NA,IGNORE,2024-05-02,88,kapman_v0_handwritten_structural
APPN,BC,DOWN,ENTRY,2025-11-06,468,kapman_v0_handwritten_structural
ASML,SOS,UP,ENTRY,2024-03-01,45,kapman_v0_handwritten_structural
ASML,SPRING,UP,ENTRY,2025-01-27,271,kapman_v0_handwritten_structural
ASML,SOW,DOWN,ENTRY,2025-04-07,320,kapman_v0_handwritten_structural
ASML,BC,DOWN,ENTRY,2025-06-20,371,kapman_v0_handwritten_structural
ASML,SC,NA,IGNORE,2025-07-16,388,kapman_v0_handwritten_structural
ASML,AR,NA,IGNORE,2025-08-12,407,kapman_v0_handwritten_structural
AVGO,SOS,UP,ENTRY,2024-03-01,45,kapman_v0_handwritten_structural
AVGO,SC,NA,IGNORE,2025-04-09,322,kapman_v0_handwritten_structural
AVGO,BC,DOWN,ENTRY,2025-11-24,480,kapman_v0_handwritten_structural
BBAI,SC,NA,IGNORE,2024-08-12,157,kapman_v0_handwritten_structural
BBAI,AR,NA,IGNORE,2024-08-21,164,kapman_v0_handwritten_structural
BBAI,SOS,UP,ENTRY,2025-02-12,283,kapman_v0_handwritten_structural
BBAI,BC,DOWN,ENTRY,2025-10-13,450,kapman_v0_handwritten_structural
BIDU,SC,NA,IGNORE,2024-07-09,133,kapman_v0_handwritten_structural
BIDU,AR,NA,IGNORE,2024-07-10,134,kapman_v0_handwritten_structural
BIDU,SOW,DOWN,ENTRY,2025-01-17,266,kapman_v0_handwritten_structural
BIDU,SPRING,UP,ENTRY,2025-01-24,270,kapman_v0_handwritten_structural
BIDU,BC,DOWN,ENTRY,2025-09-17,432,kapman_v0_handwritten_structural
BIDU,SOS,UP,ENTRY,2025-10-06,445,kapman_v0_handwritten_structural
BWXT,BC,DOWN,ENTRY,2025-05-23,353,kapman_v0_handwritten_structural
BWXT,SOS,UP,ENTRY,2025-08-01,400,kapman_v0_handwritten_structural
CCJ,BC,DOWN,ENTRY,2025-10-28,461,kapman_v0_handwritten_structural
CEG,SOW,DOWN,ENTRY,2024-02-27,42,kapman_v0_handwritten_structural
CEG,SPRING,UP,ENTRY,2024-05-03,89,kapman_v0_handwritten_structural
CEG,SC,NA,IGNORE,2024-06-10,114,kapman_v0_handwritten_structural
CEG,AR,NA,IGNORE,2024-06-18,120,kapman_v0_handwritten_structural
CEG,BC,DOWN,ENTRY,2025-01-10,261,kapman_v0_handwritten_structural
CEG,SOS,UP,ENTRY,2025-06-03,359,kapman_v0_handwritten_structural
CORZ,BC,DOWN,ENTRY,2025-06-26,356,kapman_v0_handwritten_structural
CORZ,SOS,UP,ENTRY,2025-10-10,430,kapman_v0_handwritten_structural
CRDO,BC,DOWN,ENTRY,2024-12-03,236,kapman_v0_handwritten_structural
CRDO,SOS,UP,ENTRY,2025-01-21,267,kapman_v0_handwritten_structural
CRM,SC,NA,IGNORE,2024-05-31,108,kapman_v0_handwritten_structural
CRM,AR,NA,IGNORE,2024-06-03,109,kapman_v0_handwritten_structural
