symbol,event_date,event,direction,role
AAPL,2024-03-08,SOW,DOWN,ENTRY
AAPL,2024-04-11,SPRING,UP,ENTRY
AAPL,2025-04-09,SC,NA,IGNORE
AAPL,2025-04-11,AR,NA,IGNORE
AAPL,2025-08-08,BC,DOWN,ENTRY
ADBE,2024-03-05,SOS,UP,ENTRY
ADBE,2025-04-07,SOW,DOWN,ENTRY
ADBE,2025-06-16,SC,NA,IGNORE
ADBE,2025-07-01,AR,NA,IGNORE
ADBE,2025-12-11,BC,DOWN,ENTRY
ADI,2024-02-22,SOW,DOWN,ENTRY
ADI,2024-11-25,SPRING,UP,ENTRY
ADI,2025-07-23,SC,NA,IGNORE
ADI,2025-08-12,AR,NA,IGNORE
ADI,2025-11-25,BC,DOWN,ENTRY
AEHR,2025-04-09,SC,NA,IGNORE
AEHR,2025-08-25,BC,DOWN,ENTRY
AEHR,2025-09-22,SOS,UP,ENTRY
AEVA,2025-06-03,SOS,UP,ENTRY
AEVA,2025-09-17,BC,DOWN,ENTRY
AI,2024-12-10,BC,DOWN,ENTRY
AI,2025-08-11,SC,NA,IGNORE
AI,2025-08-13,AR,NA,IGNORE
AI,2025-12-03,SPRING,UP,ENTRY
AMBA,2024-11-27,SOS,UP,ENTRY
AMBA,2025-06-24,BC,DOWN,ENTRY
AMD,2025-04-08,SOW,DOWN,ENTRY
AMD,2025-04-09,SC,NA,IGNORE
AMD,2025-05-07,AR,NA,IGNORE
AMD,2025-10-08,BC,DOWN,ENTRY
AMZN,2025-04-09,SC,NA,IGNORE
ANET,2024-03-08,SOS,UP,ENTRY
ANET,2024-03-08,SOW,DOWN,ENTRY
ANET,2024-03-18,SPRING,UP,ENTRY
ANET,2024-07-31,SC,NA,IGNORE
ANET,2024-08-06,AR,NA,IGNORE
ANET,2025-09-10,BC,DOWN,ENTRY
APPN,2024-05-02,SC,NA,IGNORE
APPN,2025-11-06,BC,DOWN,ENTRY
ASML,2024-03-01,SOS,UP,ENTRY
ASML,2025-01-27,SPRING,UP,ENTRY
ASML,2025-04-07,SOW,DOWN,ENTRY
ASML,2025-06-20,BC,DOWN,ENTRY
ASML,2025-07-16,SC,NA,IGNORE
ASML,2025-08-12,AR,NA,IGNORE
AVGO,2024-03-01,SOS,UP,ENTRY
AVGO,2025-04-09,SC,NA,IGNORE
AVGO,2025-11-24,BC,DOWN,ENTRY
BBAI,2024-08-12,SC,NA,IGNORE
BBAI,2024-08-21,AR,NA,IGNORE
BBAI,2025-02-12,SOS,UP,ENTRY
BBAI,2025-10-13,BC,DOWN,ENTRY
BIDU,2024-07-09,SC,NA,IGNORE
BIDU,2024-07-10,AR,NA,IGNORE
BIDU,2025-01-17,SOW,DOWN,ENTRY
BIDU,2025-01-24,SPRING,UP,ENTRY
BIDU,2025-09-17,BC,DOWN,ENTRY
BIDU,2025-10-06,SOS,UP,ENTRY
BWXT,2025-05-23,BC,DOWN,ENTRY
BWXT,2025-08-01,SOS,UP,ENTRY
CCJ,2025-10-28,BC,DOWN,ENTRY
CEG,2024-02-27,SOW,DOWN,ENTRY
CEG,2024-05-03,SPRING,UP,ENTRY
CEG,2024-06-10,SC,NA,IGNORE
CEG,2024-06-18,AR,NA,IGNORE
CEG,2025-01-10,BC,DOWN,ENTRY
CEG,2025-06-03,SOS,UP,ENTRY
CORZ,2025-06-26,BC,DOWN,ENTRY
CORZ,2025-10-10,SOS,UP,ENTRY
CRDO,2024-12-03,BC,DOWN,ENTRY
CRDO,2025-01-21,SOS,UP,ENTRY
CRM,2024-05-31,SC,NA,IGNORE
CRM,2024-06-03,AR,NA,IGNORE
CRM,2025-01-27,BC,DOWN,ENTRY
CRWD,2025-09-18,BC,DOWN,ENTRY
CRWD,2025-11-14,SOS,UP,ENTRY
CRWD,2025-12-03,SC,NA,IGNORE
CRWV,2025-05-19,SPRING,UP,ENTRY
CRWV,2025-08-14,SOW,DOWN,ENTRY
CRWV,2025-09-10,SC,NA,IGNORE
CRWV,2025-09-22,AR,NA,IGNORE
CRWV,2025-12-19,BC,DOWN,ENTRY
CXM,2024-02-22,SOS,UP,ENTRY
CXM,2024-11-05,SOW,DOWN,ENTRY
CXM,2025-04-07,SPRING,UP,ENTRY
CXM,2025-12-02,SC,NA,IGNORE
CXM,2025-12-03,BC,DOWN,ENTRY
CXM,2025-12-03,AR,NA,IGNORE
DDOG,2025-11-06,BC,DOWN,ENTRY
DOCU,2024-12-06,BC,DOWN,ENTRY
DOCU,2025-06-09,SC,NA,IGNORE
DOMO,2025-04-04,SC,NA,IGNORE
DOMO,2025-04-07,AR,NA,IGNORE
DOMO,2025-05-22,BC,DOWN,ENTRY
DOMO,2025-07-18,SOS,UP,ENTRY
DXCM,2024-03-01,SOS,UP,ENTRY
DXCM,2025-04-07,SC,NA,IGNORE
DXCM,2025-04-09,AR,NA,IGNORE
DXCM,2025-06-24,BC,DOWN,ENTRY
ENVX,2024-06-25,SOS,UP,ENTRY
ENVX,2025-04-09,SC,NA,IGNORE
ENVX,2025-07-07,BC,DOWN,ENTRY
ESTC,2024-02-29,SOS,UP,ENTRY
ESTC,2025-01-28,BC,DOWN,ENTRY
ESTC,2025-03-11,SC,NA,IGNORE
EVTL,2024-09-27,SOS,UP,ENTRY
EVTL,2025-12-04,BC,DOWN,ENTRY
FN,2025-04-04,SC,NA,IGNORE
FN,2025-04-07,AR,NA,IGNORE
FRSH,2024-05-02,SC,NA,IGNORE
FRSH,2024-05-28,AR,NA,IGNORE
FRSH,2024-07-31,SOW,DOWN,ENTRY
FRSH,2024-11-04,SPRING,UP,ENTRY
FRSH,2025-04-30,BC,DOWN,ENTRY
GEV,2024-05-31,SOW,DOWN,ENTRY
GEV,2025-07-23,BC,DOWN,ENTRY
GEV,2025-08-01,SOS,UP,ENTRY
GEV,2025-10-22,SC,NA,IGNORE
GEV,2025-11-07,AR,NA,IGNORE
GOOG,2024-12-11,BC,DOWN,ENTRY
GOOG,2025-04-09,SC,NA,IGNORE
GOOG,2025-08-13,SOS,UP,ENTRY
HON,2024-11-11,SOS,UP,ENTRY
HON,2025-04-09,SC,NA,IGNORE
HON,2025-04-11,AR,NA,IGNORE
HON,2025-10-23,BC,DOWN,ENTRY
HUBS,2025-01-28,BC,DOWN,ENTRY
HUBS,2025-02-13,SOS,UP,ENTRY
HUBS,2025-04-09,SC,NA,IGNORE
IBM,2025-07-24,SC,NA,IGNORE
IBM,2025-10-24,BC,DOWN,ENTRY
INTC,2024-02-22,SOS,UP,ENTRY
INTC,2024-08-05,SPRING,UP,ENTRY
INTC,2025-04-04,SOW,DOWN,ENTRY
INTC,2025-06-10,SC,NA,IGNORE
INTC,2025-06-17,AR,NA,IGNORE
INTC,2025-08-14,BC,DOWN,ENTRY
INTU,2024-11-13,SOS,UP,ENTRY
INTU,2024-11-21,BC,DOWN,ENTRY
INVZ,2024-02-28,SOS,UP,ENTRY
INVZ,2024-11-11,SPRING,UP,ENTRY
INVZ,2024-11-25,SC,NA,IGNORE
INVZ,2024-11-27,AR,NA,IGNORE
INVZ,2025-06-18,BC,DOWN,ENTRY
IONQ,2025-09-12,BC,DOWN,ENTRY
IONQ,2025-10-06,SOS,UP,ENTRY
LAZR,2024-11-21,SOS,UP,ENTRY
LAZR,2025-10-24,BC,DOWN,ENTRY
LAZR,2025-12-19,SC,NA,IGNORE
LEU,2024-04-15,SOW,DOWN,ENTRY
LEU,2024-05-17,SPRING,UP,ENTRY
LEU,2025-04-07,SC,NA,IGNORE
LEU,2025-04-09,AR,NA,IGNORE
LEU,2025-09-19,BC,DOWN,ENTRY
LEU,2025-10-10,SOS,UP,ENTRY
LIDR,2024-05-10,SOS,UP,ENTRY
LIDR,2024-11-18,SPRING,UP,ENTRY
LIDR,2024-11-25,SC,NA,IGNORE
LIDR,2024-12-09,AR,NA,IGNORE
LIDR,2024-12-27,BC,DOWN,ENTRY
LIDR,2025-04-30,SOW,DOWN,ENTRY
LPSN,2024-02-29,SOS,UP,ENTRY
LPSN,2025-05-21,SC,NA,IGNORE
LPSN,2025-06-25,BC,DOWN,ENTRY
MBLY,2024-03-06,SOS,UP,ENTRY
MBLY,2025-06-24,BC,DOWN,ENTRY
META,2024-03-07,SOW,DOWN,ENTRY
META,2025-01-27,BC,DOWN,ENTRY
META,2025-03-21,SPRING,UP,ENTRY
META,2025-08-01,SOS,UP,ENTRY
META,2025-10-30,SC,NA,IGNORE
META,2025-11-07,AR,NA,IGNORE
MRVL,2024-12-13,BC,DOWN,ENTRY
MSFT,2024-03-05,SOS,UP,ENTRY
MSFT,2024-08-05,SC,NA,IGNORE
MSFT,2024-08-29,AR,NA,IGNORE
