symbol,event,direction,role,event_date,bar_index,impl
A,SC,NA,IGNORE,2025-04-09,320,kapman_v0_handwritten_structural
A,BC,DOWN,ENTRY,2025-11-25,479,kapman_v0_handwritten_structural
AA,SOS,UP,ENTRY,2024-05-21,99,kapman_v0_handwritten_structural
AA,SC,NA,IGNORE,2025-04-09,320,kapman_v0_handwritten_structural
AA,BC,DOWN,ENTRY,2025-10-23,456,kapman_v0_handwritten_structural
AAAU,BC,DOWN,ENTRY,2024-04-15,73,kapman_v0_handwritten_structural
AAAU,SOS,UP,ENTRY,2024-08-02,149,kapman_v0_handwritten_structural
AACG,SPRING,UP,ENTRY,2024-08-19,159,kapman_v0_handwritten_structural
AACG,SC,NA,IGNORE,2024-09-23,183,kapman_v0_handwritten_structural
AACG,AR,NA,IGNORE,2024-09-24,184,kapman_v0_handwritten_structural
AACG,BC,DOWN,ENTRY,2025-07-31,396,kapman_v0_handwritten_structural
AADR,SPRING,UP,ENTRY,2024-02-08,28,kapman_v0_handwritten_structural
AADR,BC,DOWN,ENTRY,2024-04-03,65,kapman_v0_handwritten_structural
AADR,SOS,UP,ENTRY,2024-05-22,100,kapman_v0_handwritten_structural
AADR,SC,NA,IGNORE,2024-08-06,151,kapman_v0_handwritten_structural
AADR,AR,NA,IGNORE,2024-08-08,153,kapman_v0_handwritten_structural
AAL,SOS,UP,ENTRY,2024-03-04,44,kapman_v0_handwritten_structural
AAL,SC,NA,IGNORE,2025-04-04,317,kapman_v0_handwritten_structural
AAL,AR,NA,IGNORE,2025-04-07,318,kapman_v0_handwritten_structural
AAL,BC,DOWN,ENTRY,2025-08-12,405,kapman_v0_handwritten_structural
AAME,SC,NA,IGNORE,2024-11-25,224,kapman_v0_handwritten_structural
AAME,AR,NA,IGNORE,2024-11-27,226,kapman_v0_handwritten_structural
AAME,SOS,UP,ENTRY,2025-08-19,404,kapman_v0_handwritten_structural
AAME,BC,DOWN,ENTRY,2025-12-19,490,kapman_v0_handwritten_structural
AAOI,SOS,UP,ENTRY,2024-11-29,232,kapman_v0_handwritten_structural
AAOI,BC,DOWN,ENTRY,2025-12-10,489,kapman_v0_handwritten_structural
AAON,SC,NA,IGNORE,2025-08-11,404,kapman_v0_handwritten_structural
AAON,AR,NA,IGNORE,2025-08-12,405,kapman_v0_handwritten_structural
AAP,SOS,UP,ENTRY,2024-02-28,41,kapman_v0_handwritten_structural
AAP,SC,NA,IGNORE,2025-02-25,289,kapman_v0_handwritten_structural
AAP,AR,NA,IGNORE,2025-03-07,297,kapman_v0_handwritten_structural
AAP,SPRING,UP,ENTRY,2025-04-09,320,kapman_v0_handwritten_structural
AAP,BC,DOWN,ENTRY,2025-05-22,350,kapman_v0_handwritten_structural
AAPB,SC,NA,IGNORE,2025-04-09,320,kapman_v0_handwritten_structural
AAPB,AR,NA,IGNORE,2025-04-11,322,kapman_v0_handwritten_structural
AAPB,BC,DOWN,ENTRY,2025-08-08,403,kapman_v0_handwritten_structural
AAPD,SOS,UP,ENTRY,2024-03-08,48,kapman_v0_handwritten_structural
AAPD,BC,DOWN,ENTRY,2025-04-07,318,kapman_v0_handwritten_structural
AAPD,SC,NA,IGNORE,2025-10-10,447,kapman_v0_handwritten_structural
AAPD,AR,NA,IGNORE,2025-10-22,455,kapman_v0_handwritten_structural
AAPD,SOW,DOWN,ENTRY,2025-11-20,476,kapman_v0_handwritten_structural
AAPL,SOW,DOWN,ENTRY,2024-03-08,48,kapman_v0_handwritten_structural
AAPL,SPRING,UP,ENTRY,2024-04-11,71,kapman_v0_handwritten_structural
AAPL,SC,NA,IGNORE,2025-04-09,320,kapman_v0_handwritten_structural
AAPL,AR,NA,IGNORE,2025-04-11,322,kapman_v0_handwritten_structural
AAPL,BC,DOWN,ENTRY,2025-08-08,403,kapman_v0_handwritten_structural
AAPR,BC,DOWN,ENTRY,2024-11-05,152,kapman_v0_handwritten_structural
AAPR,SC,NA,IGNORE,2025-04-07,255,kapman_v0_handwritten_structural
AAPR,AR,NA,IGNORE,2025-04-09,257,kapman_v0_handwritten_structural
AAPU,SC,NA,IGNORE,2025-04-09,320,kapman_v0_handwritten_structural
AAPU,AR,NA,IGNORE,2025-04-11,322,kapman_v0_handwritten_structural
AAPU,BC,DOWN,ENTRY,2025-08-08,403,kapman_v0_handwritten_structural
AAPX,SC,NA,IGNORE,2025-04-09,311,kapman_v0_handwritten_structural
AAPX,AR,NA,IGNORE,2025-04-11,313,kapman_v0_handwritten_structural
AAPX,BC,DOWN,ENTRY,2025-08-08,394,kapman_v0_handwritten_structural
AAPY,SC,NA,IGNORE,2024-03-20,56,kapman_v0_handwritten_structural
AAPY,AR,NA,IGNORE,2024-03-22,58,kapman_v0_handwritten_structural
AAPY,SOW,DOWN,ENTRY,2024-04-30,84,kapman_v0_handwritten_structural
AAPY,BC,DOWN,ENTRY,2024-06-11,113,kapman_v0_handwritten_structural
AAPY,SOS,UP,ENTRY,2024-07-18,138,kapman_v0_handwritten_structural
AB,SOS,UP,ENTRY,2024-10-24,207,kapman_v0_handwritten_structural
AB,BC,DOWN,ENTRY,2024-12-20,247,kapman_v0_handwritten_structural
AB,SC,NA,IGNORE,2025-08-19,410,kapman_v0_handwritten_structural
ABAT,SPRING,UP,ENTRY,2024-11-21,227,kapman_v0_handwritten_structural
ABAT,SC,NA,IGNORE,2024-11-22,228,kapman_v0_handwritten_structural
ABAT,AR,NA,IGNORE,2024-11-25,229,kapman_v0_handwritten_structural
ABAT,BC,DOWN,ENTRY,2025-10-14,449,kapman_v0_handwritten_structural
ABBV,SPRING,UP,ENTRY,2024-02-01,23,kapman_v0_handwritten_structural
ABBV,SOW,DOWN,ENTRY,2024-04-26,82,kapman_v0_handwritten_structural
ABBV,SC,NA,IGNORE,2025-04-09,320,kapman_v0_handwritten_structural
