symbol,event_date,event,direction,role
A,2025-04-09,SC,NA,IGNORE
A,2025-11-25,BC,DOWN,ENTRY
AA,2024-05-21,SOS,UP,ENTRY
AA,2025-04-09,SC,NA,IGNORE
AA,2025-10-23,BC,DOWN,ENTRY
AAAU,2024-04-15,BC,DOWN,ENTRY
AAAU,2024-08-02,SOS,UP,ENTRY
AACG,2024-08-19,SPRING,UP,ENTRY
AACG,2024-09-23,SC,NA,IGNORE
AACG,2024-09-24,AR,NA,IGNORE
AACG,2025-07-31,BC,DOWN,ENTRY
AADR,2024-02-08,SPRING,UP,ENTRY
AADR,2024-04-03,BC,DOWN,ENTRY
AADR,2024-05-22,SOS,UP,ENTRY
AADR,2024-08-06,SC,NA,IGNORE
AADR,2024-08-08,AR,NA,IGNORE
AAL,2024-03-04,SOS,UP,ENTRY
AAL,2025-04-04,SC,NA,IGNORE
AAL,2025-04-07,AR,NA,IGNORE
AAL,2025-08-12,BC,DOWN,ENTRY
AAME,2024-11-25,SC,NA,IGNORE
AAME,2024-11-27,AR,NA,IGNORE
AAME,2025-08-19,SOS,UP,ENTRY
AAME,2025-12-19,BC,DOWN,ENTRY
AAOI,2024-11-29,SOS,UP,ENTRY
AAOI,2025-12-10,BC,DOWN,ENTRY
AAON,2025-08-11,SC,NA,IGNORE
AAON,2025-08-12,AR,NA,IGNORE
AAP,2024-02-28,SOS,UP,ENTRY
AAP,2025-02-25,SC,NA,IGNORE
AAP,2025-03-07,AR,NA,IGNORE
AAP,2025-04-09,SPRING,UP,ENTRY
AAP,2025-05-22,BC,DOWN,ENTRY
AAPB,2025-04-09,SC,NA,IGNORE
AAPB,2025-04-11,AR,NA,IGNORE
AAPB,2025-08-08,BC,DOWN,ENTRY
AAPD,2024-03-08,SOS,UP,ENTRY
AAPD,2025-04-07,BC,DOWN,ENTRY
AAPD,2025-10-10,SC,NA,IGNORE
AAPD,2025-10-22,AR,NA,IGNORE
AAPD,2025-11-20,SOW,DOWN,ENTRY
AAPL,2024-03-08,SOW,DOWN,ENTRY
AAPL,2024-04-11,SPRING,UP,ENTRY
AAPL,2025-04-09,SC,NA,IGNORE
AAPL,2025-04-11,AR,NA,IGNORE
AAPL,2025-08-08,BC,DOWN,ENTRY
AAPR,2024-11-05,BC,DOWN,ENTRY
AAPR,2025-04-07,SC,NA,IGNORE
AAPR,2025-04-09,AR,NA,IGNORE
AAPU,2025-04-09,SC,NA,IGNORE
AAPU,2025-04-11,AR,NA,IGNORE
AAPU,2025-08-08,BC,DOWN,ENTRY
AAPX,2025-04-09,SC,NA,IGNORE
AAPX,2025-04-11,AR,NA,IGNORE
AAPX,2025-08-08,BC,DOWN,ENTRY
AAPY,2024-03-20,SC,NA,IGNORE
AAPY,2024-03-22,AR,NA,IGNORE
AAPY,2024-04-30,SOW,DOWN,ENTRY
AAPY,2024-06-11,BC,DOWN,ENTRY
AAPY,2024-07-18,SOS,UP,ENTRY
AB,2024-10-24,SOS,UP,ENTRY
AB,2024-12-20,BC,DOWN,ENTRY
AB,2025-08-19,SC,NA,IGNORE
ABAT,2024-11-21,SPRING,UP,ENTRY
ABAT,2024-11-22,SC,NA,IGNORE
ABAT,2024-11-25,AR,NA,IGNORE
ABAT,2025-10-14,BC,DOWN,ENTRY
ABBV,2024-02-01,SPRING,UP,ENTRY
ABBV,2024-04-26,SOW,DOWN,ENTRY
ABBV,2025-04-09,SC,NA,IGNORE
ABBV,2025-04-25,AR,NA,IGNORE
ABBV,2025-10-01,BC,DOWN,ENTRY
ABCB,2024-03-20,SOW,DOWN,ENTRY
ABCB,2024-07-09,SPRING,UP,ENTRY
ABCB,2024-11-06,SOS,UP,ENTRY
ABCB,2025-04-09,SC,NA,IGNORE
ABCB,2025-04-29,AR,NA,IGNORE
ABCB,2025-07-29,BC,DOWN,ENTRY
ABCL,2025-02-28,SC,NA,IGNORE
ABCL,2025-10-01,BC,DOWN,ENTRY
ABCS,2024-04-12,SOW,DOWN,ENTRY
ABCS,2025-01-13,SPRING,UP,ENTRY
ABCS,2025-08-12,BC,DOWN,ENTRY
ABCS,2025-11-21,SC,NA,IGNORE
ABCS,2025-12-10,AR,NA,IGNORE
ABEO,2024-03-01,SOS,UP,ENTRY
ABEO,2025-04-02,SC,NA,IGNORE
ABEO,2025-04-03,AR,NA,IGNORE
ABEO,2025-04-08,SOW,DOWN,ENTRY
ABEO,2025-04-09,SPRING,UP,ENTRY
ABEO,2025-04-30,BC,DOWN,ENTRY
ABEQ,2025-09-11,BC,DOWN,ENTRY
ABEV,2025-10-30,BC,DOWN,ENTRY
ABFL,2025-03-31,SC,NA,IGNORE
ABFL,2025-04-01,AR,NA,IGNORE
ABFL,2025-04-07,SOW,DOWN,ENTRY
ABFL,2025-10-02,BC,DOWN,ENTRY
