impl,event,supported
kapman_v0_handwritten_structural,SC,True
kapman_v0_handwritten_structural,AR,True
kapman_v0_handwritten_structural,ST,True
kapman_v0_handwritten_structural,SPRING,True
kapman_v0_handwritten_structural,TEST,True
kapman_v0_handwritten_structural,SOS,True
kapman_v0_handwritten_structural,BC,True
kapman_v0_handwritten_structural,SOW,True
kapman_v0_claude,SC,True
kapman_v0_claude,AR,True
kapman_v0_claude,ST,True
kapman_v0_claude,SPRING,True
kapman_v0_claude,TEST,True
kapman_v0_claude,SOS,True
kapman_v0_claude,BC,True
kapman_v0_claude,SOW,True
kapman_v0_chatgpt_wyckoff_core,SC,True
kapman_v0_chatgpt_wyckoff_core,AR,True
kapman_v0_chatgpt_wyckoff_core,ST,True
kapman_v0_chatgpt_wyckoff_core,SPRING,True
kapman_v0_chatgpt_wyckoff_core,TEST,True
kapman_v0_chatgpt_wyckoff_core,SOS,True
kapman_v0_chatgpt_wyckoff_core,BC,True
kapman_v0_chatgpt_wyckoff_core,SOW,True
baseline_vsa,SC,True
baseline_vsa,AR,False
baseline_vsa,ST,False
baseline_vsa,SPRING,False
baseline_vsa,TEST,True
baseline_vsa,SOS,True
baseline_vsa,BC,True
baseline_vsa,SOW,True
baseline_tv_heuristic,SC,True
baseline_tv_heuristic,AR,False
baseline_tv_heuristic,ST,False
baseline_tv_heuristic,SPRING,False
baseline_tv_heuristic,TEST,False
baseline_tv_heuristic,SOS,True
baseline_tv_heuristic,BC,True
baseline_tv_heuristic,SOW,True
baseline_hybrid_rules,SC,False
baseline_hybrid_rules,AR,False
baseline_hybrid_rules,ST,False
baseline_hybrid_rules,SPRING,True
baseline_hybrid_rules,TEST,False
baseline_hybrid_rules,SOS,True
baseline_hybrid_rules,BC,True
baseline_hybrid_rules,SOW,True
