impl,event,symbols_processed,bars_evaluated,candidates_found,signals_emitted
kapman_v0_handwritten_structural,SC,97,47519,,62
kapman_v0_handwritten_structural,AR,97,47519,,45
kapman_v0_handwritten_structural,ST,97,47519,,0
kapman_v0_handwritten_structural,SPRING,97,47519,,30
kapman_v0_handwritten_structural,TEST,97,47519,,0
kapman_v0_handwritten_structural,SOS,97,47519,,59
kapman_v0_handwritten_structural,BC,97,47519,,89
kapman_v0_handwritten_structural,SOW,97,47519,,35
kapman_v0_claude,SC,97,47519,,116
kapman_v0_claude,AR,97,47519,,2405
kapman_v0_claude,ST,97,47519,,8560
kapman_v0_claude,SPRING,97,47519,,324
kapman_v0_claude,TEST,97,47519,,175
kapman_v0_claude,SOS,97,47519,,344
kapman_v0_claude,BC,97,47519,,435
kapman_v0_claude,SOW,97,47519,,0
kapman_v0_chatgpt_wyckoff_core,SC,97,47519,,6
kapman_v0_chatgpt_wyckoff_core,AR,97,47519,,243
kapman_v0_chatgpt_wyckoff_core,ST,97,47519,,305
kapman_v0_chatgpt_wyckoff_core,SPRING,97,47519,,0
kapman_v0_chatgpt_wyckoff_core,TEST,97,47519,,0
kapman_v0_chatgpt_wyckoff_core,SOS,97,47519,,204
kapman_v0_chatgpt_wyckoff_core,BC,97,47519,,42
kapman_v0_chatgpt_wyckoff_core,SOW,97,47519,,0
baseline_vsa,SC,97,47519,,705
baseline_vsa,AR,97,47519,,0
baseline_vsa,ST,97,47519,,0
baseline_vsa,SPRING,97,47519,,0
baseline_vsa,TEST,97,47519,,11883
baseline_vsa,SOS,97,47519,,4456
baseline_vsa,BC,97,47519,,982
baseline_vsa,SOW,97,47519,,0
baseline_tv_heuristic,SC,97,47519,,1276
baseline_tv_heuristic,AR,97,47519,,0
baseline_tv_heuristic,ST,97,47519,,0
baseline_tv_heuristic,SPRING,97,47519,,0
baseline_tv_heuristic,TEST,97,47519,,0
baseline_tv_heuristic,SOS,97,47519,,6170
baseline_tv_heuristic,BC,97,47519,,1998
baseline_tv_heuristic,SOW,97,47519,,4147
baseline_hybrid_rules,SC,97,47519,,0
baseline_hybrid_rules,AR,97,47519,,0
baseline_hybrid_rules,ST,97,47519,,0
baseline_hybrid_rules,SPRING,97,47519,,0
baseline_hybrid_rules,TEST,97,47519,,0
baseline_hybrid_rules,SOS,97,47519,,0
baseline_hybrid_rules,BC,97,47519,,0
baseline_hybrid_rules,SOW,97,47519,,0
