dataset,detector,event_type,horizon,metric,benchmark,prod,delta,missing_in,start_date,end_date,git_sha,run_timestamp
baseline,baseline,AR,5,median,,0.0,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,AR,10,median,,0.00992816527130895,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,AR,20,median,,0.0211515846358365,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,AR_TOP,5,median,,-0.0020940705529146,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,AR_TOP,10,median,,-0.0016093504666258,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,AR_TOP,20,median,,-0.0056179775280899,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,BC,5,median,,-0.0068493150684931,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,BC,10,median,,-0.010178884380766601,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,BC,20,median,,-0.00937072353417855,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,SC,5,median,,0.0007532812421261999,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,SC,10,median,,0.01011823537222165,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,SC,20,median,,0.0238402061855671,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,SOS,5,median,,-0.0060724903535961,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,SOS,10,median,,-0.011049723756906,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,SOS,20,median,,-0.021188630490956,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,SOW,5,median,,0.0090503347384081,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,SOW,10,median,,0.013606710896659251,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,SOW,20,median,,0.0212478678754205,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,SPRING,5,median,,0.02171552660152,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,SPRING,10,median,,0.0309094952190349,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,SPRING,20,median,,0.0464349213728803,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,UT,5,median,,-0.02760750074603165,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,UT,10,median,,-0.0304498269896194,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,UT,20,median,,-0.0374081496325985,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
transition,transition,ACCUMULATION->MARKUP,5,median,,-0.0087413795693916,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
transition,transition,ACCUMULATION->MARKUP,10,median,,-0.0112516354121239,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
transition,transition,ACCUMULATION->MARKUP,20,median,,-0.0192601769622033,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
transition,transition,DISTRIBUTION->MARKDOWN,5,median,,0.0250297973778306,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
transition,transition,DISTRIBUTION->MARKDOWN,10,median,,0.0361944157187177,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
transition,transition,DISTRIBUTION->MARKDOWN,20,median,,0.0531400966183575,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
transition,transition,MARKDOWN->ACCUMULATION,5,median,,0.01288104976885535,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
transition,transition,MARKDOWN->ACCUMULATION,10,median,,0.019711380698662448,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
transition,transition,MARKDOWN->ACCUMULATION,20,median,,0.0306069862228942,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
transition,transition,MARKUP->DISTRIBUTION,5,median,,-0.03495964568815,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
transition,transition,MARKUP->DISTRIBUTION,10,median,,-0.04051835491091235,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
transition,transition,MARKUP->DISTRIBUTION,20,median,,-0.044656106905542906,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_ACCUM_BREAKOUT,5,median,,-0.377137713771377,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_ACCUM_BREAKOUT,10,median,,-0.3447344734473446,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_ACCUM_BREAKOUT,20,median,,-0.4689468946894689,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_DISTRIBUTION_TOP,5,median,,-0.00212128961809285,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_DISTRIBUTION_TOP,10,median,,-0.0016196603575971,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_DISTRIBUTION_TOP,20,median,,-0.00562726285529885,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_FAILED_ACCUM,5,median,,0.00863548444652835,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_FAILED_ACCUM,10,median,,0.00697604498670295,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_FAILED_ACCUM,20,median,,0.01397249061670465,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_MARKDOWN_START,5,median,,0.00042067678346849975,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_MARKDOWN_START,10,median,,-0.01816729699666285,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
sequence,sequence,SEQ_MARKDOWN_START,20,median,,-0.02133590167251155,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
