dataset,detector,event_type,horizon,metric,benchmark,prod,delta,missing_in,start_date,end_date,git_sha,run_timestamp
baseline,baseline,AR,5,win_rate,,0.4951807228915663,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,AR,10,win_rate,,0.6141674780915287,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,AR,20,win_rate,,0.6334830339321357,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,AR_TOP,5,win_rate,,0.47175188600167645,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,AR_TOP,10,win_rate,,0.4805623047552933,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,AR_TOP,20,win_rate,,0.45835581939197695,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,BC,5,win_rate,,0.41768057908516865,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,BC,10,win_rate,,0.40708661417322833,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,BC,20,win_rate,,0.43400595434998346,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,SC,5,win_rate,,0.5091918805055534,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,SC,10,win_rate,,0.6057506754148977,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,SC,20,win_rate,,0.6289085545722713,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,SOS,5,win_rate,,0.41860928471807135,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,SOS,10,win_rate,,0.4033360128617363,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,SOS,20,win_rate,,0.38172152933960335,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,SOW,5,win_rate,,0.619786280592899,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,SOW,10,win_rate,,0.625086385625432,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,SOW,20,win_rate,,0.635322692574601,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,SPRING,5,win_rate,,0.6994270603790216,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,SPRING,10,win_rate,,0.7110030932390632,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
baseline,baseline,SPRING,20,win_rate,,0.7126948775055679,,benchmark,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
