symbol,date,event,score,detector,start_date,end_date,git_sha,run_timestamp
A,2025-04-09,SC,2.263250638804506,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
A,2025-11-25,BC,2.592046838899269,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
A,2025-12-01,AR_TOP,0.5889661766175054,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AA,2024-05-21,SOS,1.658847403884985,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AA,2024-05-22,UT,-0.4631417009129992,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AA,2025-04-09,SC,3.328916711998172,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AA,2025-10-23,BC,4.758967034751199,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AA,2025-10-24,AR_TOP,1.2751435704559868,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAAU,2024-04-12,UT,4.691005555053734,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAAU,2024-04-15,BC,2.3810844415865238,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAAU,2024-04-17,AR_TOP,0.6607704547327481,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAAU,2024-08-02,SOS,3.889598545638116,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AACB,2025-10-07,BC,2.226627817003336,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AACB,2025-10-08,AR_TOP,1.8855159249949949,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AACB,2025-10-27,SOS,2.093189372540788,baseline,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
