regime,window,baseline_regime,median_delta,win_rate_delta,p5_delta,start_date,end_date,git_sha,run_timestamp
UNKNOWN,5,UNKNOWN,0.0,0.0,0.0,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ACCUMULATION,5,UNKNOWN,0.0014863225197385996,0.01775018751656554,-7.116286592249998e-05,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
NONE,5,UNKNOWN,-0.0002579269927401001,-0.007681223443975815,-0.03718316059177884,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
DISTRIBUTION,5,UNKNOWN,-0.0024103787716344,-0.05999733666797358,-0.04858608555560261,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
MARKUP,5,UNKNOWN,-0.0036195650594912504,-0.0770141946978351,-0.04343266383429693,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
MARKDOWN,5,UNKNOWN,0.0007342536897754,0.010197662029861831,-0.003572846367606103,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
UNKNOWN,10,UNKNOWN,0.0,0.0,0.0,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ACCUMULATION,10,UNKNOWN,0.0029277586767939997,0.025015178412827188,0.002044043349145805,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
NONE,10,UNKNOWN,-0.0013958509533728999,-0.02738014378224196,-0.05762556076611862,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
DISTRIBUTION,10,UNKNOWN,-0.00502282500961585,-0.08106209301053596,-0.07245368362256356,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
MARKUP,10,UNKNOWN,-0.007977083341057,-0.11071820896105139,-0.07062366809473437,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
MARKDOWN,10,UNKNOWN,0.0018453450479201006,0.013039789680510117,-0.0012049052778849018,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
UNKNOWN,20,UNKNOWN,0.0,0.0,0.0,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ACCUMULATION,20,UNKNOWN,0.0063608145227618,0.035437930035462584,0.006193939465803405,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
NONE,20,UNKNOWN,0.00442345465965485,0.04529919213253819,-0.045389923612769584,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
DISTRIBUTION,20,UNKNOWN,-0.010796471177541948,-0.11122674957176537,-0.1013424478410288,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
MARKUP,20,UNKNOWN,-0.018470349129569852,-0.1551680876327442,-0.11030472487685783,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
MARKDOWN,20,UNKNOWN,0.004779780621571351,0.028362313722441468,0.006683191490525403,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
