symbol,date,event,prior_regime,base_event,detector,start_date,end_date,git_sha,run_timestamp
A,2025-11-25,BC:ACCUMULATION,ACCUMULATION,BC,contextual,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
A,2025-11-25,BC:NONE,NONE,BC,contextual,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AA,2024-05-21,SOS:UNKNOWN,UNKNOWN,SOS,contextual,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AA,2025-10-23,BC:ACCUMULATION,ACCUMULATION,BC,contextual,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAAU,2024-04-15,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAAU,2024-08-02,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AACB,2025-10-07,BC:UNKNOWN,UNKNOWN,BC,contextual,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AACB,2025-10-27,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AACG,2024-08-19,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AACG,2025-07-31,BC:ACCUMULATION,ACCUMULATION,BC,contextual,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AADR,2024-02-08,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AADR,2024-04-03,BC:ACCUMULATION,ACCUMULATION,BC,contextual,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AADR,2024-05-22,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAL,2024-03-04,SOS:UNKNOWN,UNKNOWN,SOS,contextual,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAL,2025-08-12,BC:ACCUMULATION,ACCUMULATION,BC,contextual,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAME,2025-08-19,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAME,2025-12-19,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAME,2025-12-19,BC:NONE,NONE,BC,contextual,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAMI,2025-07-31,BC:UNKNOWN,UNKNOWN,BC,contextual,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAMI,2025-08-05,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAOI,2024-11-29,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAOI,2025-12-10,BC:NONE,NONE,BC,contextual,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAOI,2025-12-10,BC:NONE,NONE,BC,contextual,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAP,2024-02-28,SOS:UNKNOWN,UNKNOWN,SOS,contextual,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAP,2024-03-11,SOS:MARKUP,MARKUP,SOS,contextual,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
