date,symbol,event,prior_regime,base_event,detector,fwd_5,fwd_10,fwd_20,start_date,end_date,git_sha,run_timestamp
2025-11-25,A,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.0505089058524172,-0.0873409669211195,-0.1201017811704834,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-11-25,A,BC:NONE,NONE,BC,contextual,-0.0505089058524172,-0.0873409669211195,-0.1201017811704834,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-05-21,AA,SOS:UNKNOWN,UNKNOWN,SOS,contextual,-0.0036289408029032,-0.034021320027217,-0.1158992968927196,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-10-23,AA,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.0842052815146986,-0.0857000498256103,-0.1073741903338316,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-04-15,AAAU,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,-0.0241218789674143,-0.0217943292424883,-0.0209479475243333,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-08-02,AAAU,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.003731343283582,0.0286069651741291,0.0263266998341624,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-10-07,AACB,BC:UNKNOWN,UNKNOWN,BC,contextual,0.0045418719211822,0.0088669950738915,0.011822660098522,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-10-27,AACB,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,0.0009765625,0.0029296875,0.0078125,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-08-19,AACG,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual,0.0156510156510156,-0.035964035964036,-0.1105561105561105,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-07-31,AACG,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.2567567567567569,-0.0743243243243243,0.0045045045045044,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-02-08,AADR,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual,0.0217468805704099,0.0359180035650623,0.0700534759358288,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-04-03,AADR,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.0118324272465621,-0.0442916533418611,-0.0273425007994883,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-05-22,AADR,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,0.0161428902923155,-0.0081592464142589,-0.0317479978175113,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-03-04,AAL,SOS:UNKNOWN,UNKNOWN,SOS,contextual,-0.0108035111411208,-0.0472653612424038,-0.0276839972991221,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-08-12,AAL,BC:ACCUMULATION,ACCUMULATION,BC,contextual,0.0184899845916794,0.0130970724191064,-0.0123266563944529,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-08-19,AAME,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.008498583569405,-0.0764872521246459,-0.0254957507082153,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-12-19,AAME,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,,,,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-12-19,AAME,BC:NONE,NONE,BC,contextual,,,,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
