symbol,date,sequence_id,detector,event,start_date,end_date,git_sha,run_timestamp
A,2025-12-01,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AA,2025-10-24,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAAU,2024-04-17,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AACB,2025-10-08,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AACG,2025-08-01,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AADR,2024-04-04,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAL,2025-09-04,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAME,2025-12-22,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAMI,2025-08-01,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAOI,2025-12-12,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAP,2025-05-23,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPD,2025-04-09,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPG,2025-04-09,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPY,2024-06-14,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
