date,symbol,sequence_id,detector,event,fwd_5,fwd_10,fwd_20,start_date,end_date,git_sha,run_timestamp
2025-12-01,A,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,-0.0510326449033977,-0.0632911392405063,,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-10-24,AA,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,-0.0667174023338407,-0.0532724505327245,-0.0781329274479959,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-04-17,AAAU,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,-0.0223546944858419,-0.0266127315307642,0.0059612518628913,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-10-08,AACB,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,0.0078696672649454,0.0088558411076704,0.013293623399933,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-08-01,AACG,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,0.7499999999999998,0.8148148148148147,1.009259259259259,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-04-04,AADR,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,0.0039573574543694,-0.0334356323695685,-0.0092069132611855,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-09-04,AAL,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,0.0069984447900466,-0.0217729393468117,-0.1111975116640746,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-12-22,AAME,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,,,,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-08-01,AAMI,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,0.1280949974734715,0.188479029813037,0.2877716018191005,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-12-12,AAOI,SEQ_DISTRIBUTION_TOP,sequence,SEQ_DISTRIBUTION_TOP,-0.0230817217716781,,,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
