symbol,date,transition,prior_regime,new_regime,detector,event,start_date,end_date,git_sha,run_timestamp
AADR,2024-06-12,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAMI,2025-09-04,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAP,2024-08-23,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPD,2024-03-19,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPG,2025-04-08,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AAPL,2024-04-11,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
AB,2024-12-20,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABBV,2025-04-09,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABCB,2024-07-09,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
ABCB,2024-11-06,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP,transition,ACCUMULATION->MARKUP,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
