date,symbol,transition,prior_regime,new_regime,detector,event,fwd_5,fwd_10,fwd_20,start_date,end_date,git_sha,run_timestamp
2024-06-12,AADR,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.0172168693729268,-0.0246406570841889,0.0045806349707786,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-09-04,AAMI,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,0.1335367284674957,0.1734334663224594,0.0847218962684814,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-08-23,AAP,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.0781281790437435,-0.2122075279755849,-0.1745676500508647,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-03-19,AAPD,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,0.0362318840579709,0.0380434782608696,0.0480072463768117,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-04-08,AAPG,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.000513874614594,0.2281603288797531,0.2419116135662897,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-04-11,AAPL,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION,-0.0457038391224863,-0.0294218464351005,0.0544446983546618,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-12-20,AB,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.0214707461084271,-0.0287171229200214,0.0791733762748256,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-04-09,ABBV,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION,-0.0453736654804269,0.0029470640569395,0.0319172597864769,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-07-09,ABCB,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION,0.1586396697464125,0.2001179477098487,0.1002555533713387,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-11-06,ABCB,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP,transition,ACCUMULATION->MARKUP,-0.0163058757379813,-0.0425920719707618,-0.031908912004498,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2025-01-13,ABCS,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION,0.0446524926069711,0.0437835489341424,0.0249926420092219,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
2024-05-30,ABLV,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN,transition,DISTRIBUTION->MARKDOWN,0.1636363636363635,-0.0363636363636363,-0.0454545454545455,2023-12-28,2025-12-24,8c282eb,2026-01-04T18:28:41.632523+00:00
