symbol,date,event,prior_regime,base_event,detector
CHT,2024-04-04,SOW:UNKNOWN,UNKNOWN,SOW,contextual
CHT,2025-04-03,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
CHT,2025-04-09,BC:MARKUP,MARKUP,BC,contextual
CHT,2025-04-09,SPRING:MARKUP,MARKUP,SPRING,contextual
CHW,2025-09-10,BC:ACCUMULATION,ACCUMULATION,BC,contextual
CHWY,2024-11-22,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
CHWY,2024-12-04,BC:MARKUP,MARKUP,BC,contextual
CHY,2024-04-01,SOS:UNKNOWN,UNKNOWN,SOS,contextual
CHY,2025-07-18,BC:ACCUMULATION,ACCUMULATION,BC,contextual
CHYM,2025-11-07,BC:NONE,NONE,BC,contextual
CHYM,2025-11-07,BC:NONE,NONE,BC,contextual
CHYM,2025-12-10,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
CHYM,2025-12-10,SOS:NONE,NONE,SOS,contextual
CI,2024-04-15,SOS:UNKNOWN,UNKNOWN,SOS,contextual
CI,2025-10-03,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
CIA,2024-01-30,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
CIA,2024-02-09,SPRING:ACCUMULATION,ACCUMULATION,SPRING,contextual
CIA,2024-03-01,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
CIA,2025-09-19,BC:ACCUMULATION,ACCUMULATION,BC,contextual
CIA,2025-11-05,SOS:NONE,NONE,SOS,contextual
CIA,2025-11-05,SOS:NONE,NONE,SOS,contextual
CIB,2025-06-24,BC:UNKNOWN,UNKNOWN,BC,contextual
CIB,2025-10-02,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
CIBR,2024-02-21,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
CIBR,2024-04-15,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
CIBR,2025-06-23,BC:ACCUMULATION,ACCUMULATION,BC,contextual
CIBR,2025-10-07,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
CIEN,2025-12-11,BC:UNKNOWN,UNKNOWN,BC,contextual
CIEN,2025-12-11,BC:NONE,NONE,BC,contextual
CIFR,2025-09-09,BC:UNKNOWN,UNKNOWN,BC,contextual
CIFR,2025-09-17,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
CIG,2024-03-13,SOS:UNKNOWN,UNKNOWN,SOS,contextual
CIG,2025-03-05,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
CIG.C,2024-05-21,SOS:UNKNOWN,UNKNOWN,SOS,contextual
CIG.C,2025-05-29,BC:ACCUMULATION,ACCUMULATION,BC,contextual
CIGI,2024-05-02,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
CIGI,2025-10-23,BC:ACCUMULATION,ACCUMULATION,BC,contextual
CIGL,2025-07-02,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
CIGL,2025-07-09,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
CIIT,2025-06-17,SOS:UNKNOWN,UNKNOWN,SOS,contextual
CIIT,2025-10-17,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
CIL,2024-09-11,BC:UNKNOWN,UNKNOWN,BC,contextual
CIL,2024-09-30,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
CIM,2024-05-01,SOW:UNKNOWN,UNKNOWN,SOW,contextual
CING,2024-04-15,SOW:DISTRIBUTION,DISTRIBUTION,SOW,contextual
CING,2024-08-15,SOS:MARKDOWN,MARKDOWN,SOS,contextual
CING,2024-11-07,SPRING:MARKUP,MARKUP,SPRING,contextual
CING,2025-10-14,BC:ACCUMULATION,ACCUMULATION,BC,contextual
CINT,2024-03-06,SOW:UNKNOWN,UNKNOWN,SOW,contextual
CINT,2024-08-16,SOS:MARKDOWN,MARKDOWN,SOS,contextual
CINT,2025-05-14,BC:ACCUMULATION,ACCUMULATION,BC,contextual
CINT,2025-05-14,SPRING:ACCUMULATION,ACCUMULATION,SPRING,contextual
CIO,2024-02-26,SOW:UNKNOWN,UNKNOWN,SOW,contextual
CIO,2025-12-05,BC:NONE,NONE,BC,contextual
CIO,2025-12-05,BC:NONE,NONE,BC,contextual
CION,2024-02-27,SOW:UNKNOWN,UNKNOWN,SOW,contextual
CION,2024-03-04,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual
CION,2025-02-28,BC:ACCUMULATION,ACCUMULATION,BC,contextual
CION,2025-04-04,SOW:DISTRIBUTION,DISTRIBUTION,SOW,contextual
CISO,2024-12-09,SOS:UNKNOWN,UNKNOWN,SOS,contextual
CISO,2025-10-14,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
CISS,2025-06-13,BC:UNKNOWN,UNKNOWN,BC,contextual
CIVB,2024-10-30,BC:UNKNOWN,UNKNOWN,BC,contextual
CIVB,2025-05-15,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
CIVI,2025-04-03,SOW:UNKNOWN,UNKNOWN,SOW,contextual
CIVI,2025-06-12,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual
CIX,2024-02-14,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual
CIX,2024-03-11,SOS:ACCUMULATION,ACCUMULATION,SOS,contextual
CIX,2024-05-13,SOW:DISTRIBUTION,DISTRIBUTION,SOW,contextual
CIX,2025-06-27,BC:ACCUMULATION,ACCUMULATION,BC,contextual
CJMB,2025-04-30,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
CJMB,2025-12-03,SOW:NONE,NONE,SOW,contextual
CJMB,2025-12-03,SOW:NONE,NONE,SOW,contextual
CL,2024-07-30,SOS:UNKNOWN,UNKNOWN,SOS,contextual
CL,2025-03-07,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
CLAR,2024-03-04,SOS:UNKNOWN,UNKNOWN,SOS,contextual
CLAR,2024-11-08,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
CLB,2024-04-12,SOS:UNKNOWN,UNKNOWN,SOS,contextual
CLB,2025-10-23,BC:ACCUMULATION,ACCUMULATION,BC,contextual
CLBK,2024-11-06,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual
CLBT,2024-03-13,SOW:UNKNOWN,UNKNOWN,SOW,contextual
CLBT,2024-08-16,SPRING:MARKDOWN,MARKDOWN,SPRING,contextual
CLBT,2024-12-20,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual
CLBT,2025-11-13,BC:ACCUMULATION,ACCUMULATION,BC,contextual
CLBT,2025-11-13,BC:NONE,NONE,BC,contextual
CLCO,2024-04-12,SOS:UNKNOWN,UNKNOWN,SOS,contextual
CLCO,2024-08-28,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual
