symbol,date,event,score,detector
KEUA,2024-02-27,SOW,1.9751620531267307,baseline
KEUA,2024-03-04,SOW,3.05464867539892,baseline
KEUA,2024-07-12,SC,2.3446415602689297,baseline
KEUA,2024-08-08,AR,0.8805713397179296,baseline
KEX,2024-06-03,SOS,2.331729310725674,baseline
KEX,2024-08-01,UT,4.517292516892014,baseline
KEX,2025-10-29,BC,2.9083881543456465,baseline
KEX,2025-11-13,AR_TOP,1.2732687386501058,baseline
KEY,2024-11-06,SOS,5.247017624620244,baseline
KEY,2024-12-02,UT,0.6908260036471852,baseline
KEY,2025-04-07,SC,2.555198822047374,baseline
KEY,2025-04-09,AR,4.028464283016189,baseline
KEY,2025-07-22,BC,3.2851725240046528,baseline
KEY,2025-07-30,AR_TOP,1.2976602084386886,baseline
KEYS,2024-02-20,SPRING,,baseline
KEYS,2024-05-21,SOW,5.0445299479428165,baseline
KEYS,2025-08-20,SC,4.928391197019894,baseline
KEYS,2025-08-22,AR,2.59090388196374,baseline
KEYS,2025-10-31,BC,3.269868412386563,baseline
KEYS,2025-11-04,AR_TOP,0.5599556995037139,baseline
KEYS,2025-11-25,SOS,3.167201747002528,baseline
KFFB,2024-02-07,UT,,baseline
KFFB,2024-02-20,UT,,baseline
KFFB,2025-05-09,SC,3.752595298137871,baseline
KFFB,2025-05-22,AR,0.5920551721879546,baseline
KFFB,2025-10-07,SOS,2.9039855634557084,baseline
KFFB,2025-10-13,BC,6.24294365566192,baseline
KFFB,2025-10-14,AR_TOP,0.8363032812060337,baseline
KFRC,2024-02-06,UT,,baseline
KFRC,2024-03-04,SOS,2.5184854467806628,baseline
KFRC,2024-07-30,BC,3.5587495478993216,baseline
KFRC,2024-07-31,AR_TOP,1.299453507798273,baseline
KFS,2024-11-07,BC,2.0253414194555774,baseline
KFS,2024-11-11,AR_TOP,2.7677600239225204,baseline
KFS,2025-05-15,SOS,4.25416029911414,baseline
KFY,2024-06-13,BC,4.32222054303261,baseline
KFY,2024-06-14,AR_TOP,3.4405920633951155,baseline
KFY,2024-07-18,UT,0.2932043845683389,baseline
KFY,2024-08-01,SOS,1.525183418041633,baseline
KGC,2025-09-19,BC,2.3153599447562296,baseline
KGC,2025-09-24,AR_TOP,3.0145978731236878,baseline
KGC,2025-10-02,SOS,3.5929661349761712,baseline
KGC,2025-10-08,UT,0.4759529496013214,baseline
KGEI,2025-02-18,SOS,4.275809174259669,baseline
KGEI,2025-02-19,UT,0.990022921248628,baseline
