date,symbol,event,prior_regime,base_event,detector,fwd_5,fwd_10,fwd_20
2024-02-27,KEUA,SOW:UNKNOWN,UNKNOWN,SOW,contextual,0.076101120667188,0.029841021631483056,0.1226739640344019
2024-03-04,KEUA,SOW:MARKDOWN,MARKDOWN,SOW,contextual,-0.007568807339449646,0.07696228338430156,0.029561671763506547
2024-06-03,KEX,SOS:UNKNOWN,UNKNOWN,SOS,contextual,-0.005819270097265017,-0.01321805636378759,0.004156621498046409
2025-10-29,KEX,BC:DISTRIBUTION,DISTRIBUTION,BC,contextual,0.05208436478859291,0.09446479849490053,0.11981384295474817
2024-11-06,KEY,SOS:UNKNOWN,UNKNOWN,SOS,contextual,-0.04606910365548311,-0.04757135703555326,-0.06259389083625444
2025-07-22,KEY,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.017103153393907,-0.048102618920363605,-0.02993051843933736
2024-02-20,KEYS,SPRING:UNKNOWN,UNKNOWN,SPRING,contextual,-0.01081396101793708,0.008677070517386642,-0.031405814932331744
2024-05-21,KEYS,SOW:ACCUMULATION,ACCUMULATION,SOW,contextual,-0.048237223285050534,-0.06490844493030878,-0.07461054933041822
2025-10-31,KEYS,BC:ACCUMULATION,ACCUMULATION,BC,contextual,-0.011423261915172733,-0.021316134674245757,0.07968954962833408
2025-11-25,KEYS,SOS:NONE,NONE,SOS,contextual,0.057044919676660255,0.08861148060984347,0.05049626522050543
2025-11-25,KEYS,SOS:NONE,NONE,SOS,contextual,0.057044919676660255,0.08861148060984347,0.05049626522050543
2025-10-07,KFFB,SOS:ACCUMULATION,ACCUMULATION,SOS,contextual,-0.14430379746835453,0.012658227848101111,-0.04556962025316458
2025-10-13,KFFB,BC:MARKUP,MARKUP,BC,contextual,0.0494308855582164,-0.004386082931948421,0.07633936980329903
2024-03-04,KFRC,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.025725232621784277,-0.06349206349206349,-0.06841817186644772
2024-07-30,KFRC,BC:MARKUP,MARKUP,BC,contextual,-0.09313585872970664,-0.09441754485901444,-0.0637994873255483
2024-11-07,KFS,BC:UNKNOWN,UNKNOWN,BC,contextual,-0.06323687031082526,-0.03429796355841375,-0.08788853161843524
2025-05-15,KFS,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,0.08030592734225617,0.22944550669216035,0.3001912045889099
2024-06-13,KFY,BC:UNKNOWN,UNKNOWN,BC,contextual,-0.02846164792941508,-0.044542479009534564,-0.028603956169062084
2024-08-01,KFY,SOS:DISTRIBUTION,DISTRIBUTION,SOS,contextual,-0.0508214981899191,-0.04761904761904745,0.010860484544695126
2025-09-19,KGC,BC:UNKNOWN,UNKNOWN,BC,contextual,0.026394210302256305,0.06555981268624955,0.06853980417198824
