date,symbol,transition,prior_regime,new_regime,detector,event,fwd_5,fwd_10,fwd_20
2025-01-06,SSSSL,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.002020202020202033,-0.010101010101010055,-0.005656565656565693
2024-06-18,SSTI,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.1650557620817843,-0.112267657992565,0.024535315985130035
2025-03-31,SSTK,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN,transition,DISTRIBUTION->MARKDOWN,-0.17069243156199676,-0.1857219538378958,-0.09822866344605463
2024-04-15,SSYS,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN,transition,DISTRIBUTION->MARKDOWN,0.016546018614270963,0.03619441571871773,-0.013443640124095269
2024-12-13,ST,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.10306223246624968,-0.10701350016463618,-0.07243990780375364
2024-11-12,STAA,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.09924190213645756,-0.03308063404548589,-0.12991040661612685
2024-11-06,STAG,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.02211690363349117,-0.05239599789362814,-0.05397577672459186
2024-07-11,STC,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION,0.0343903528360876,0.07682000893255903,0.035283608753908124
2024-08-06,STEM,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.4731193580742227,-0.4262788365095286,-0.500802407221665
2025-07-01,STFS,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION,0.22522522522522515,0.3783783783783783,0.7117117117117115
2025-04-01,STHO,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.18671679197994984,-0.19674185463659155,-0.15538847117794485
2025-08-05,STIM,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.1507150715071507,-0.2585258525852585,-0.2805280528052805
2024-05-10,STKH,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,0.1727349935618201,0.23558258677844424,0.01093120736418185
2024-05-02,STKL,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN,transition,DISTRIBUTION->MARKDOWN,0.06934306569343063,0.025547445255474477,0.09671532846715314
2025-04-03,STLA,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.1273261508325172,-0.07639569049951034,-0.06072477962781597
2024-10-15,STM,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,0.029761904761904878,0.0758928571428572,0.010044642857142794
2024-06-17,STNE,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,0.0,-0.012562814070351758,0.14070351758793964
2024-10-21,STNG,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.08428485576923073,-0.1298076923076923,-0.1768329326923077
2024-03-27,STOK,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION,-0.14114326040931546,-0.047282992237120625,-0.17501764290755117
2025-10-22,STOK,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.03413284132841332,-0.29827798277982787,-0.12423124231242322
2025-04-08,STOT,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.003821656050955413,-0.0010615711252655036,0.003821656050955413
2024-06-17,STRR,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP,transition,ACCUMULATION->MARKUP,0.028277634961439535,0.01799485861182526,0.31105398457583533
2024-12-12,STRR,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.1505791505791505,-0.16023166023166024,-0.17374517374517362
2024-08-01,STRS,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.06830391404451253,-0.057943207981580924,0.05065234075211045
2024-04-25,STRW,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION,0.0801781737193763,0.1046770601336302,0.12472160356347439
2025-07-25,STT,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP,transition,ACCUMULATION->MARKUP,-0.03843088638979897,-0.016381829451872942,0.022580359514743575
2024-09-30,STTK,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.6762177650429799,-0.5530085959885387,-0.6117478510028653
2024-03-18,STVN,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,0.06689303904923616,0.0444821731748728,-0.016298811544991576
2024-09-20,STXS,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,transition,MARKDOWN->ACCUMULATION,-0.028436018957346043,-0.033175355450236865,-0.08056872037914686
2025-09-10,SU,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP,transition,ACCUMULATION->MARKUP,0.013961192617132134,0.0035494557501183355,-0.03360151443445325
2025-09-29,SU,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.010483678818203446,-0.04765308553728853,-0.04598522754348344
2025-01-30,SUN,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.002068965517241339,-0.011206896551724133,0.013965517241379288
2025-03-14,SUNE,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN,transition,DISTRIBUTION->MARKDOWN,-0.14571428571428569,-0.22857142857142854,-0.9571428571428572
2025-10-09,SUNE,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,transition,MARKUP->DISTRIBUTION,-0.04320987654320996,-0.04938271604938271,-0.20370370370370372
